original_text,processed_text
Omongannya yg akhirnya merendahkan harga dirinya sendiri......,omong merendahkan harga
Ke kapan koe  tobat keo wis bau tanah sebetar lag koei modar ibadah  medekat didri kepada yang kuasa daripada selalu zuuddon semakin kamu ngoceh malah ditertawakan jadi kaya jorang gala,kamu taubat keo bau tanah sebetar lag koe tinggal ibadah medekat didri kuasa zudon kamu ngoceh tertawa kaya jorang gala
"Rai,is ini mahluk terburuk yg di miliki indonesia",rai ini mahluk terburuk milik indonesia
Wong tuwo ra keno gawe tuladha...,orang tuwo keno gawe tuladha
TERBAIK PRESIDEN <br>TERBAIK  YG PERNAH DI MILIKI INDONESIA BP JOKOWI&#39; <br>ANDA LEBIH DARI TUHAN&#39; yg tahu isi hati Org&#39;<br>Bicara tentang diri sendiri,baik presiden baik milik indonesia bp tuhan isi hati orang bicara
huahahha dan anda adalah manusia yg sudah tua paling biadab Di Indonesia,huahaha manusia tua biadab indonesia
"Ngca lah ..kau Min.. Min.. hatimu penuh dgn hati setan 😈<br>Kau merasa kwbuh tinggi dari Gusdur kau. Justru jena Tuah kata kata Gusdur sgn gelandangan politik, dan itu nyata terjadi kemarin kau jadi gelandangan Politik,  meskipun sekarang kau oujya partai oun kau masih jadi gelandangan politik.<br>Sekarang kau gak bisa menggangu mahasiswa lagi gak laku, mahasiswa Uda tau kelakuan mu yg hina Dina  kau Sengkuni.",ngca kau min min hati penuh hati setan kau kwbuh kau jena tuah sgn gelandangan politik itu nyata kemarin kau gelandangan politik kau oujya partai oun kau gelandangan politik kau mengangu mahasiswa laku mahasiswa laku kamu hina dina kau licik
Ocehanya amin rais<br>Menji2kan,ocehanya menjikan
Terus bapak yang paling sempurna gitu,sempurna
Yg Ngajarin sprti itu siapa mbah Amin.kasihan bngt kmu.😮😮😅😅,ngajarin sprti itu kakek kasihan bngt kamu
Jokopret 😂😂😂,jokopret
Es. Ra es awakmu iku ngomong tah kemu.seng buruk iku yoo awak mu iku sadar yoo sadar,es es awak itu ngomong tah kemu buruk itu iya awak kamu itu sadar iya sadar
kuplukmu guwak en wae kek men,kupluk guwak en
Tua Bangka gila politik  omong ngelantur pikun stres pingin jdi hormati tapi goblok,tua bangka gila politik omong ngelantur lupa stres pingin hormat goblok
Amin Raes asuuuuuuu,raes anjing
Sengkuni drona .  Tukang adu domba . Pngin jd pejabat ga kesampean iri dengki .tukang fitnah . Politik gelandangan . Ws engklek mbah ingat itu nadzar .di lihat seluruh orang indonesia dr sabang smpe meraoke ingt itu mbh nanti jg trmakan omongnx sendiri,licik drona tukang adu domba pngin jabat sampean iri dengki tukang fitnah politik gelandangan ws engklek kakek itu nadzar lihat orang indonesia sabang smpe meraoke ingt itu kakek trmakan omongnx
Gak ada orang lain yg bener dimata mbah amin😂<br>Sementara mbah amin dimata orang lain dianggap konslet😂,orang mata kakek kakek mata orang anggap konslet
Makhluk munafik sok suci sok pintar......sampah tetap aja sampah.....<br>Jangan2 turunan yemenis niih....,makhluk munafik sok suci sok pintar sampah aja sampah turun yen ini
Kenapa di. Tampilkan. Orang pikun ini..,tampil orang lupa ini
"Kakek Amin, Presiden Jokowi yg terbaik di dunia yg dimiliki NKRI, selama 10 tahun, Kakek Amin berilah contoh buat generasi muda, sebelum ke Neraka, 😂😂😂",kakek presiden baik dunia milik nkri kakek ilah contoh generasi muda neraka
Orang strees gk punya malu pinter ngoceh g jelas,orang stres malu pintar ngoceh
Ngoco  men klakuanmu koyo  sangkuni,ngoco klakuanmu sangkuni
"Amin Rais anjing,,yg manusia terbiadab itu Lo,Amin anjing.<br>Mungkin isi otak Amin Rais,penuh dgn kotoran anjing ..",anjing manusia biadab itu kamu anjing isi otak penuh kotoran anjing
bruttttt ngerti apa rikaa......senenge gawe reggg tok  aq bukan orangnya jokowi tpi gk kya gitu kakek peottttttt,brut ngerti rika senenge gawe reg tok aq orang tpi kya kakek peot
Yg menghina itu siapa too mbah . . <br>Bpk Jokowi Org Yg Hebat org yg Santun dn Rendah Hati. . Sehat trs yaa bpk jokowi. . Trimakasih sdh menjunjung tinggi bangsa ini. Trmksh sdh bayak merubah indonesia ini semakin maju dn dihormati bangsa&quot; lain . Sukses sll bt bpk jokowi dn mas gibran beserta keluarga. .,menghina itu kakek orang hebat orang santun rendah hati sehat trs ya trimakasih junjung bangsa ini trmksh bayak rubah indonesia ini maju hormat bangsa kutip sukses sll bt mas gibran serta keluarga
Amin  rais  ..dejat y lebh rndah  dri pada anjing...  masih  brharga  anjing  deri  pada si  amin rais,dejat y lebh rndah dri anjing brharga anjing deri si
Mulot amin rais mau  mau saya biki toilet,mulot bik toilet
Twek an kecrok  ngomong mbok sing bener,twek an kecrok ngomong
Amen raes tadisiang ngentu anjing. Habis. Ngentu anjing langsong ngentu babi,amen raes tadisiang ngentu anjing habis ngentu anjing langsong ngentu babi
Amin rais biasa ngentu anjing,ngentu anjing
Mulot amin rais mau saya Biken toilet,mulot biken toilet
Mulot amin  rais masih baik mulot babi,mulot mulot babi
Amin rais mulot  mu mau saya pinjam mau saya beraki,mulot kamu pinjam berak
Mulot mu mau saya pinjam mAu saya. Beraki,mulot kamu pinjam berak
"Indonesia menyesal punya amin Rais,yg makin tua makin dungu dan menyebalkan",indonesia sesal tua dungu menyebalkan
sungguh malu  dan menyesal ibumu telah melahir sebuah makluk yg paling hina di dunia ini🤮🤮🤮🤮🤮,sungguh malu sesal ibu lahir makluk hina dunia ini
Yg pas buat amin raiz itu tepatnx d berakin mulutnx.... Cz mulutnx sprti kloset.,pas raiz itu tepatnx berakin mulutnx cz mulutnx sprti kloset
"Kenapa amin begitu,karna  amin menutupi malunya, dijadikan MPR bisa apa amin,hanya plorak plorok matanya, yg plonga plongo sejatinya ya amin, sekarang apa yg dia laukukan, tidak ada,hanya menyebar keburukan saja, dan anehnya banyak jg lo yg menjujungnya,anehkan.",tutup malu jadi plorak plorok mata bingung bingung sejati ya dia laukukan sebar keburukan aneh kamu menjujungnya aneh
Kalau amin rais pecundang terbaik,cundang baik
Saking jengkelnya /benci setengah mati lihat kekakuaanya Mukidi sampai kritik yg pedas.❤ Semoga panjang umur mbah sehat badan jiwa. Ada lagi yg kritik sangat kejam lebih daripada mbah,saking jengkel benci mati lihat kekakuanya mukidi kritik pedas moga umur kakek sehat badan jiwa kritik sangat kejam kakek
Amiin Rais orang terburuk di muka bumi,orang terburuk muka bumi
Sak karepmu mbah toh ngomong gk dadak kulak. Nikmati ajah mbah,sak karepmu kakek ngomong dadak kulak nikmat ajah kakek
Si mbah ini terburuk satu Indonesia,si kakek ini terburuk indonesia
"men men wes tuwek cangkeme bejat, ndang sadar men cek di sepuro doso mu",tua mulut bejat ndang sadar cek sepuro doso kamu
Kamu bisa apa Hai amin rais terhadap bangsa ini..... Dasarbtua bangka bau bangkai,kamu hai bangsa ini dasarbtua bangka bau bangkai
DASAR GELANDANGAN POLITIK KAKEK AMIN. SEDIKIT PUN DARI DULU TIDAK PUNYA SIMPATI SAMA SEKALI SAMA AMIN RAISO. AMBISIUSS,dasar gelandangan politik kakek simpati sekali raiso ambisius
Mbah amin itu sepertinya kok sangat tidak suka sama pak jokowi ya..,kakek itu sangat suka ya
"Semakin pak jokowi direndahkan, semakin kuat simpati dan dukungan ke pak jokowi. ❤❤❤",rendah kuat simpati dukung
Ah si amin loba bacot amat belum tentu kauatur negara besar ini becus min min sudah diam jangan banyak bacoooot,ah si loba bacot atur negara ini becus min min diam bacot
cangkem bodol angel didandani alias doooool,mulut bodol angel dandan alias dol
"Ngomong Taek cocotmu min, ngoco raimu ben eroh koyok opo?",ngomong taek cocotmu min ngoco rai ben eroh koyok
Mbah min..provokator peyebar fitnah..,kakek min provokator peyebar fitnah
Min pikirkan sblm menjelekan orang lain. Sadarlah min. Belum tentu kamu lebih baik drpd orang yg kamu jelekan,min pikir sblm jelek orang sadar min kamu drpd orang kamu jelek
kapan tobat mu ws tuwek,taubat kamu ws tua
Ayo.....siapa yg bisa menunjukkan prestasi amien rais......!,ayo prestasi
Istighfar mbah .ngomonge kecewa kali ya,kakek ngomonge kecewa kali ya
Bosen bgt mbah tobat minum obat,bosen bgt kakek taubat minum obat
Bilang aja iri mbh.,bilang aja iri kakek
Udh kek kek sadar umur sudah  tinggal dileher kau itu sudah tak laku lgi di negara ini,sadar umur tinggal leher kau itu laku lgi negara ini
Ini lah satu Dajjal yg ada di indonesia,ini dajjal indonesia
Bau tanahmbah tidur saja,bau tanahmbah tidur
10 dari 10 komen yang tertulis di kolom komentar ini isinya negatif buat prof amin rais. Berarti 100% rakyat Indonesia tidak ada yang mendengar apa kata prof.,komen tulis kolom komentar ini isi negatif profesor rakyat indonesia dengar profesor
Woii ini lah profesor yg Dajal yang di miliki negara indonesia.<br>Ngaca mbah udah bau tanah,woi ini profesor dajal milik negara indonesia kaca kakek udah bau tanah
Amin rais kurasa udah mintoni yo mbah,rasa udah mintoni iya kakek
Amin provokator paling setres dan goblok yg bau tanah,provokator tres goblok bau tanah
Bentar lagi modar,bentar tinggal
Siap siap min gali kuburan sendiri,min gali kubur
Mbah punya cermin gak di rumah,kakek cermin rumah
"Amin Rais warga negara ter guoblog yg dimiliki negeri ini contohnya pernah nyapres gak terpilih, mau jalan kaki dari Jakarta ke jogya mana dia lakukan, itu akibat kegibligannta bikin janji asal mangap",warga negara ter guoblog milik negeri ini contoh nyapres pilih jalan kaki jakarta jogya dia laku itu akibat kegibliganta bikin janji mangap
"Betul, sudah tidak menjabat masih resmikan kesana kemari, rakyat juga tengil",jabat resmi kesana kemari rakyat menyebalkan
"Mulutmu yg buruk kakek Rais, Comberan busa mulutmu...",mulut kamu buruk kakek comberan busa mulut kamu
"Tambah tua tambah sesat, nanti mulutnya bau n matinya sekarat.",tua sesat mulut bau mati sekarat
Yang baik apanya dari kakek amin,apa kakek
"Mbah amin ...Sangking jengkele  akibat gibran yang daftar  sbg wapres  dengan  aturan MK  di masa itu <br>Terus mbah ,.",kakek sangking jengkele akibat gibran daftar sbg wapres atur mk itu kakek
"Kasihaaan pak Amiiin iniiii.....tua segini...mendingan ceramah di masjid ,jadi imam khotib",kasihan ini tua gin mending ceramah masjid imam khotib
Orang gagal jadi presiden .suksen menghina presiden .sukses menjagokan presiden,orang gagal presiden suksen menghina presiden sukses jago presiden
Ciri ciri orang fasik yg mau meninggal diantaranya seperti ini,ciri ciri orang fasik tinggal ini
"Min,,kapan modare",min modare
"Wis tuo sadar sadar, berbuat baiklah Mbah Amin",tua sadar sadar buat baik kakek
"ingat pak,,bilang bodoh2 k orang dan menghina segitu keji nya,,dia sendiri dah ngasih apa k negara,,ingat pak,,,yg d bawa akhir nya ,2x1 mtr,,,elooooo sendiri yg goblok dan tolol,,SANGKUNI d pewayangan. Tukang ngadu orang pitnah orang,,,SANGKUNIiiiiii goblok",bilang bodoh k orang menghina segitu keji nya dia ngasih k negara bawa nya x mtr elo goblok tolol sangkuni wayang tukang ngadu orang pitnah orang sangkuni goblok
Ngomong ajd GK ada manfaatnya😊,ngomong ajd manfaat
Kok rasanya aku kepingin menjejak muka Amin rais ya,aku kepingin jejak muka ya
"Yg ngomong stress,, diketawain orang-orang saraf,, klop.",ngomong stres diketawain orang orang saraf klop
Nyungsep Mbah engklek mana engklek,nyungsep kakek engklek engklek
Kau   tubang sadar  apa kau uda bagus tubang jaga mulut  mu uda bauk tana kau,kau tubang sadar kau bagus tubang jaga mulut kamu bauk tana kau
Min min  tatap no cagak ndas mu,min min tatap no cagak ndas kamu
"Amin rais itu antek asing ,, maaf ini pendapt saya pribadi,, karna apa ,, negara asing merasa terancam dgn kebijakan jokowi selama ini,, yang paling membuat mereka geram itu hilirinisasi hasil tambang,, makax mereka mencari para pecundang yang bersebrangan dgn pemerintah,, coba kita lihat,prestasi amin rais dan sekelingnya  apa yang merka buat untuk rakyat Indonesia",itu antek asing maaf ini pendapt pribadi negara asing ancam bijak ini geram itu hilirinisasi hasil tambang makax cari cundang bersebrangan perintah coba lihat prestasi keling merka rakyat indonesia
Mbah amin eling wis tuwo mbah,kakek tuwo kakek
Mbak amin ....ngomong sudah tersendat2...Kaki yg Satunya sudah masuk kuburan....kalau jadi orang Islam yo Istihfar......sudah tua gila😂😂😂 susah di Aturnya..hanya kematian yg bisa menolongnya😢,mbak ngomong sendat kaki satu masuk kubur orang iya istihfar tua gila susah atur mati tolong
"Kami dari pihak RSJ meminta maaf pada masyarakat semua atas keteledoran kami dalam menjaga pasien2 ODGJ  RSJ kami yang pada kabur dan kami cari2 ternyata berkeliaran dan datang ke gedung ini. Waspada pada ODGJ yg sudah aki aki dia paling parah sakitnya, dia seorang Psikopat dan mengidap  Skizofrenia paranoid.  Pada pihak2 yang mengetahui pasien2 kami tsb harap dapat menghubungi kami agar kami bisa menjemputnya kembali. Sekian dan terimakasih..",rsj maaf masyarakat teledor jaga pasien gila rsj kabur cari liar gedung ini waspada gila kakek kakek dia parah sakit dia psikopat idap skizofrenia paranoid pasien tsb harap hubung jemput sekian terimakasih
Anjingnya gonggong....,anjing gongong
Toko yg terburuk amin.rais perusak NKRI .biar apa yg kau koar 2 orang tdk hiraukan dan tdk ada guna anis rais,toko terburuk usak nkri biar kau koar orang hirau anis
Udah tua tidak jadi contoh yang baik,udah tua contoh
"Amin Rais itu sampah...bagi bangsa Indonesia.<br>Kalau Amin Rais itu orang pinter,nyatanya gak kepakek.",itu sampah bangsa indonesia itu orang pintar kepakek
Ini dia orangnya yg tersingkirkan karena jatahn premannya yg diduga  di BUMN sebesar 200 JT perbulan yg di hentikan jokowe. Makannya dia sakit hati terus sama jokowe . Sudah tua Mala sering finah yg kau sebarkan.,ini dia orang singkir jatahn preman duga bumn jt bulan henti jokowe makan dia sakit hati jokowe tua mala finah kau sebar
Aku melihat bodoh amin dari pada jokowe,aku bodoh jokowe
Kasihan orang tua sdh pikun kok dikasih mix.... jd deh ngomongin diri sendiri,kasihan orang tua lupa kasih mix deh ngomongin
Punya cermin pak? 😂,cermin
Omonge sapa sing ngomong  anu sakit hati,omonge sapa ngomong anu sakit hati
Ni contoh congor asu.....,ini contoh congor anjing
"Gelandangan politik, ga usah digubris 😂😂😂😂😂😂😂😂😂😂",gelandangan politik gubris
"Sdh lah kita, sdh tua .jgn ngurus bgtu.",tua ngurus bgtu
Pak amit mulut dijaga klu bicara malu sm u. Umur pak malu sm anak cucu. Seharusnya bapa sebagai contoh klu bicara,amit mulut jaga bicara malu u umur malu anak cucu bapa contoh bicara
"Omong opo min ,stres kwe kwi",omong min stres kwe kwi
"Tokoh reformasi yg konsisten dalam perjuangannya utk demokrasi  yg berpihak pada kesejahteraan rakyat dan rakyat yg lemah, bukan pd kekuasaan dan oligarki.",tokoh reformasi konsisten juang demokrasi pihak kesejahteran rakyat rakyat lemah pd kuasa oligarki
"Klo amin  rakus,,,,,,merupakan   temenya nyetanyahu,,,,orang pli g crewet,,,sok  bersih",serakah temenya nyetanyahu orang pli crewet sok bersih
Preeeeeeeeeeeet min...<br>Yg thengiiil itu kamu mbaah...!!!!<br>Tepati janjimu mbaah JALAN KAKI JOGJA - JAKARTA ....titik...!!!!!<br>Lihat cengelmu dulu mbaah min..!!!<br>Salam Aminpreeeet ..😂😂😂😂😂😂😂,bohong min thengil itu kamu kakek tepat janji kakek jalan kaki jogja jakarta titik lihat cengelmu kakek min salam aminpret
Min mata kabur cocotmu ngawur kalo aku yg jadi presiden kusekolahke lagi kau min sampai tamat,min mata kabur cocotmu ngawur aku presiden kusekolahke kau min tamat
"kowe iki iri jahat dengki Min,, sadar tobato, kowe trparah min😆😆😆",kamu ini iri jahat dengki min sadar tobato kamu trparah min
Amien pikun,lupa
"Pak tua ini uda punya kemampuan seperti tuhan, bisa tau isi hati orang lain. Luar biasa pak, <br>Saya menyalahkan anak anak pakntua ini yg tidak bisa memperhatikannya sampai berkeliaran sepertinini.",tua ini mampu tuhan isi hati orang salah anak anak pakntua ini perhati liar tin
"Kasian pak tua ini, mana anaknya sampe pak tua ini  bisa keluar dari rumah",kasi tua ini anak sampe tua ini rumah
Amin rais ...mbah iling lahh..,kakek iling
Oalah mbah urusin anak sendiri aj mbah ga usah ngurus orang. Mantan ketua MPR terburuk pusing mikir anak pemabuk dan doyan mangku LC ko kritik orang lain benahi dulu keluargamu baru mikir negara mbah,oalah kakek urusin anak aj kakek ngurus orang mantan ketua terburuk pusing mikir anak mabuk doyan mang lc kritik orang benah keluarga mikir negara kakek
Kenapa ini keluar di tik tok ya?,ini tik tok ya
Apalagi yg ngomomong lebih buruk lagi bisanya hanya menjelek kan  orang lain,ngomomong buruk bisa jelek orang
pules -pules  mani gelem nyen😢😢😢,pules pules mani gelem nyen
Goblok di plihara intelektual kelakuannya seperti preman sifatnya lebih Mulya preman,goblok plihara intelektual laku preman sifat mulya preman
"Aki2 edan , ga tobat2",kakek gila taubat
"Nyebut mbah, perbanyak istighfar, tambah tuwo koq tambah senang menghina orang lain, ingatanak cucumu aka n malu kelak bila melihat video ini, nggak punya adab dan suka menghina orang 😜🙏",nyebut kakek banyak tuwo koq senang menghina orang ingatanak cucu aka malu kelak video ini adab suka menghina orang
Kalo kamu manusia terbosok yg di miliki Indonesia,kamu manusia terbosok milik indonesia
Tua Bangka gada sadarnya KLO udah bau kuburan,tua bangka gada sadar udah bau kubur
"Wahai orang-orang yang beriman, janganlah suatu kaum mengolok-olok kaum yang lain (karena) boleh jadi mereka (yang diolok-olokkan itu) lebih baik daripada mereka (yang mengolok-olok) dan jangan pula perempuan-perempuan (mengolok-olok) perempuan lain (karena) boleh jadi perempuan (yang diolok-olok itu) lebih baik daripada perempuan (yang mengolok-olok). Janganlah kamu saling mencela dan saling memanggil dengan julukan yang buruk. Seburuk-buruk panggilan adalah (panggilan) fasik setelah beriman. Siapa yang tidak bertobat, mereka itulah orang-orang zalim.",orang orang iman kaum mengolok olok kaum olok olok itu mengolok olok perempuan perempuan mengolok olok perempuan perempuan olok olok itu perempuan mengolok olok kamu cela memangil juluk buruk buruk buruk pangilan pangilan fasik iman tobat orang orang zalim
"Amin rais....rakyat Mulyono,paling jelek ,paling guoblok se indo and prof paling gendeng seluruh indo...mukanya paling menjijikan seluruh umat....kpn modaar min",rakyat jelek guoblok indo and profesor gendeng indo muka jijik umat kpn tinggal min
mbah amin memang joss gandos,kakek jos gandos
Ini orang sterss,ini orang sters
Ga tobat&quot;. Orang tua  ini . Mudah&quot; Han dosa&quot;  ga di ampuni Allah .,taubat kutip orang tua ini mudah kutip han dosa kutip ampun
DENGERIN MAYAT HIDUP NGOMONG... <br>ANTEK ASING NI AMIN RAISO... SEMUA PRESIDEN DI INDONESIA DIA GAK SUKA...,dengerin mayat hidup ngomong antek asing ini raiso presiden indonesia dia suka
Katamu tidak sopan banget. Tak ber etika. Pendidikan tinggi. Etika kebencian dalam hatimu,kata sopan sangat ber etika didik etika benci hati
Amin rais....bisanya cuma asal jeplak...😂,bisa jeplak
Omongannya  cucu Nabi Adam,omong cucu nabi adam
Min .min . Tobat lah,min min taubat
Anak kecil ini salah didikan tolong kasih tau bapaknya biar kasih pelajaran,anak ini salah dik tolong kasih bapak biar kasih ajar
"Jokowi antek oligarki 9 naga, bikin uu ombudsman bikin kalian sengsara.",antek oligarki naga bikin u ombudsman bikin sengsara
Laknattulloh,laknatuloh
min ... mulutmu terbusuk ... isi kepalamu sampah,min mulut kamu busuk isi kepala sampah
"ketek stress Iki 😂 , ghibah, hasut , hasat , iri , dengki jika hewan ia adalah monyet , jika golongan setan ia adalah &quot; dedemit&quot;",ketek stres ini ghibah hasut hasat iri dengki hewan monyet golong setan kutip dedemit kutip
Janji jalan kaki Jkt-Jogya mn ya??,janji jalan kaki jkt jogya mn ya
Banyak orangg cerdas diblakang jokowi.... Ap yg dikatakan amin sm artinya semua ya bodoh.........,orang cerdas diblakang ap ya bodoh
"Kenapa Anak cucunya pada diem liat kelakuan bapak kakeknya kaya gini,,,apa keluarga mereka gk malu...atau memang mereka keluarga pembenci...",anak cucu diem lihat laku kakek kaya keluarga malu keluarga benci
"Mulutmu yg sgt melanggar aturan agama min....GK tkt KLO mau mati yg diucpkn kt2 kebencian trhdp kluarga BpK jokowi,kok ank2Nya diem aja ya...",mulut kamu sgt langgar atur agama min tkt mati diucpkn kt benci trhdp kluarga anknya diem aja ya
Amin sdh gila...,gila
Taik lo amien😂😂😂😂,taik kamu
Orang ini makin tua makin berhati syaithon😂😂😂😂,orang ini tua hati syaithon
Mantap.......❤❤❤❤❤❤ Bapak Prof H Amin Rais......,mantap profesor h
Beginilah wajah manusia yang terbuat dari pejunya jin kafir,wajah manusia buat pejunya jin kafir
"Asal bacot, Bayo ini. Dia sendirilah yang dikatakannya itu. AR merupakan tokoh terburuk, tolol, tengik, jago menghina, plonga plongo, yang tak tahu undang undang.",bacot bayo ini dia sendiri itu ar tokoh terburuk tolol tengik jago menghina bingung bingung undang undang
"si rais, hobinya fitnah dan menghina, apa gunanya beragama islam kalau kerjanya merendahkan sesama orang???",si hobi fitnah menghina guna agama kerja merendahkan orang
Sia geura sadar gs aki² ge teu robah2,sia geura sadar gs kakek ge teu robah
Kowe  lebih buruk  dan  busuk  dari tau anjing,kamu buruk busuk anjing
Bodoh ... kok jadi presiden. Yang pintar ngomong kok gak bisa jadi presiden. Jadi ini apa ya .... iri hati sepertinya. HEM,bodoh presiden pintar ngomong presiden ini ya iri hati hem
"Dimana sih anak2nya tua bangka ini, otaknya rusak kok dibiarkan keliaran gk dirantai sih",mana anak tua bangka ini otak rusak biar keliar rantai
"Ini bukan kritik sekelas professor, ini bukan professor tapi tukang ngarit aja otaknya gak kaya amin sengkuni ini,",ini kritik kelas profesor ini profesor tukang ngarit aja otak kaya licik ini
Bukan negarawan,negarawan
Di maklumi amin Rais udah pikun 😂,maklum udah lupa
"yang buruk, mana, sedangkan, bapak, amin rais di kata kan, gus dur, pikianat,,,",buruk pikianat
Telek mbah telek,telek kakek telek
HAHAHAHAHAHA........MIN PRET INI.....PERLU DI KASIHANI INI ....BODOH NYA MIN MIN...PERLU SEKOLAH TAMAN KANAK LAGI ...MALU MALUIN YG MELIHAT MIN....,hahahahahaha min bohong ini kasihan ini bodoh nya min min sekolah taman kanak malu maluin min
Terburuk adalah bpk sendiri😅😅,terburuk
Glandangan tenan si amin iki...........,gelandangan tenan si ini
"NASIB AMIN MENGENASKAN  SUNGGUH MNGENAS KAN  PDA HAL BGAEMANA PUN TETAP MASIH BNYAK PNDUKUNG NYA PAK JOKOWI DARI PDA  AMIN  DRI ODA RAPLI  HRUN DRI PDA   KOK BERANINYA MELAWAN YANG MASIH BNYAK PNDUKUNG NYA  YA JELAS PNDUKUNG NYA YANG MELAWAN ,  DASAR OTAK PEA",nasib enas sungguh mngenas pda bgaemana bnyak pndukung nya pda dri oda rapli hrun dri pda berani lawan bnyak pndukung nya ya pndukung nya lawan dasar otak pea
"Kasian mahluk yg satu ini,makin tua makin tambah parah sakit jiwanya dan yg lebih sakit lg pengikutnya",kasi mahluk ini tua parah sakit jiwa sakit ikut
Tapi kok tak ada yang milih Mbah Amin ya.. bikin partai Umat kok gak ada juga pengikutnya ... apa sudah😅😅😅 pikun tapi kok masih nyinyir  tapi kok gak ingat  jalan  yang lurus,milih kakek ya bikin partai umat ikut lupa ngomong jalan lurus
"PDA HAL   PENGHINA JOKOWI   YANG SDAH   MATI LGI NANGIS  MINTA DI HIDUPKAM LGI HANYA  MAU MINTA MAAF SAMA PAK JOKIWI KRNA MATI MMBAWA PENUH KBNCIAN PDA PAK JOKOWI, SFANG KAN PAK JOKIWI SEPATAH KATA PUN TAK MNJAWABV HANYA  HASBUNNALOH WANIMALWAKIL  DISERAHKAN SRMUA URUSAN DNGAN ALLOH , APA GAK NGERI  NGERIIIII------!!  KOK  YANGASIH HIDUP KOK GAK TOBAT  HAI MIN COBA KANU TANYA TENTANG MATI SEBELUM MATI PENUH KBNCIAN   BGAEMANA D DI  ALAM KUBUR NYA  MIN  ,SDAH TUA MIN ISTIGHWAR MIN",pda hina sdah mati lgi nang hidupkam lgi maaf jokiwi krna mati mbawa penuh kbncian pda sfang jokiwi patah mnjawabv hasbunaloh wanimalwakil serah srmua urus dngan ngeri ngeri yangasih hidup taubat hai min coba kanu mati mati penuh kbncian bgaemana alam kubur nya min sdah tua min istighwar min
Amiiin nangis  wong edaaan,nang orang gila
Contoh manusia yang su&#39;ul khotimah.<br>Makin tua makin semprul bukanya memperbanyak tobat.,contoh manusia su ul khotimah tua semprul buka banyak taubat
"Semoga diberi umur panjang, biar nanti kalau mati dengan membawa dosa yg sangat banyak karena pebuatannya sendiri",moga umur biar mati bawa dosa sangat buat
Wes tuo mambu lemah we kok iseh bacot wae😂 min min,tua mambu lemah we iseh bacot min min
Cangkemu min Amin atimi busuk profesor Dobol kopyor,mulut min atimi busuk profesor dobol kopyor
Ini siapa ???,ini
Tambah kolot tambah eror min min....,kolot eror min min
Dajjal indonesia.....,dajjal indonesia
IJAZAH PALSU 😂 GAK PUNYA MALU,ijazah palsu malu
Dulangen Taek kebo gedege CIK waras,dulangen taek kebo gedege cik sehat
Dulangen Taek kebo lak enak bos cocot bejat,dulangen taek kebo lak enak bos cocot bejat
Cingire ASU,cingire anjing
Pasien kabur,pasien kabur
Bin ajaib pak Amin... Semua bisa..,ajaib
"Seburuk buruknya mulyono atau jokowi, kamu situa bangka sengkuni yang bernama amin rais jauh lebih buruk daripada apa yang kamu sebut buruk, dan kamu bukan cuma sengkuni tapi sampah yang baunya lebih busuk dari bangkai biawak",buruk buruk kamu situa bangka licik nama buruk kamu buruk kamu licik sampah bau busuk bangkai biawak
Wah jik nggambleh wae  kakèk warganegara terkoplak ini....,jik ngambleh kak k warganegara terkoplak ini
"Mbah lek tobat, wes tuo🤦",kakek lek taubat tua
"Nopo maeon to mbah ...Amin ..Rakyat sudah pinter Mbah Amin ...,Mbok ngih Istifar mawon la Pun Sepuh 🙏🏻🙏🏻",nopo maeon kakek rakyat pintar kakek ngih istifar mawon la tua
Km lho hasilnya apa di pemerintahanmu,kamu lho hasil perintah
Manusia tua terbejat yg gak punya adab dan tata Krama itulah km amin Rais,manusia tua bejat adab tata krama kamu
"Perkataan orang yang tidak beriman,,,  tidak berakhlak mulia... Stresses kamu Profesor seperti orang ngelidur dan seperti orang tua gila  di pinggiran jalan",kata orang iman akhlak mulia streses kamu profesor orang ngelidur orang tua gila pingiran jalan
"Amin  sekolah  Profesor  tapi tidak bisa jadi panutan dan tidak dapat memberi teladan kepada rakyat, bangsa dan negara Indonesia",sekolah profesor panutan teladan rakyat bangsa negara indonesia
Cangkemu sing terburuk se Indonesia.....coklkkkk,mulut terburuk indonesia coklk
"Mulutmu yg buruk Amin,,, ngomong tidak pakai aturan tata krama dan tidak sopan dan tidak santun... Kamu yang tidak terbukti membangun  Indonesia.",mulut kamu buruk ngomong pakai atur tata krama sopan santun kamu bukti bangun indonesia
Tolong pegawai RSJ ada pasien yg lepas...,tolong pegawai rsj pasien lepas
"Tokoh Pikun Indonesia,lupa sama Agama yg dianutnya😮",tokoh lupa indonesia lupa agama anut
Rupa mu  koyo asu mbah2,rupa kamu anjing kakek
Tidak selayaknya seorang prof ngomongnya penuh kedengkian astaghfirullah,layak profesor ngomongnya penuh dengki astaghfirullah
